CMDLINE /home/tl/projects/learning/natural-language-processing/stanford-cs336/assignment1-basics/.venv/bin/python3 profile_train_bpe.py
MEM 0.500000 1753079847.1704
MEM 27.605469 1753079847.2709
MEM 41.679688 1753079847.3711
MEM 57.632812 1753079847.4761
MEM 67.882812 1753079847.5764
MEM 82.507812 1753079847.6768
MEM 94.382812 1753079847.7773
MEM 103.507812 1753079847.8777
MEM 123.007812 1753079847.9781
MEM 137.382812 1753079848.0787
MEM 196.007812 1753079848.1790
MEM 239.257812 1753079848.2794
MEM 257.132812 1753079848.3799
MEM 274.632812 1753079848.4805
MEM 290.882812 1753079848.5809
MEM 306.257812 1753079848.6811
MEM 332.382812 1753079848.7814
MEM 346.757812 1753079848.8816
MEM 354.707031 1753079848.9819
MEM 360.582031 1753079849.0822
MEM 366.457031 1753079849.1824
MEM 372.332031 1753079849.2828
MEM 375.207031 1753079849.3836
MEM 380.332031 1753079849.4839
MEM 384.082031 1753079849.5847
MEM 390.957031 1753079849.6856
MEM 397.207031 1753079849.7864
MEM 397.582031 1753079849.8869
MEM 397.582031 1753079849.9944
MEM 397.582031 1753079850.0949
MEM 397.582031 1753079850.1953
MEM 397.582031 1753079850.2957
MEM 397.582031 1753079850.3961
MEM 397.582031 1753079850.4966
MEM 397.582031 1753079850.5971
MEM 397.582031 1753079850.6976
MEM 397.582031 1753079850.7979
MEM 397.582031 1753079850.8983
MEM 397.582031 1753079850.9987
MEM 397.582031 1753079851.0991
MEM 397.582031 1753079851.1994
MEM 397.582031 1753079851.2999
MEM 397.582031 1753079851.4002
MEM 397.582031 1753079851.5006
MEM 397.582031 1753079851.6009
MEM 397.582031 1753079851.7012
MEM 397.582031 1753079851.8026
MEM 397.582031 1753079851.9029
MEM 397.582031 1753079852.0035
MEM 397.582031 1753079852.1075
MEM 397.582031 1753079852.2079
MEM 397.582031 1753079852.3083
MEM 397.582031 1753079852.4086
MEM 397.582031 1753079852.5089
MEM 397.582031 1753079852.6111
MEM 397.582031 1753079852.7160
MEM 397.582031 1753079852.8163
MEM 397.582031 1753079852.9166
MEM 397.582031 1753079853.0169
MEM 397.582031 1753079853.1185
MEM 397.582031 1753079853.2189
MEM 397.582031 1753079853.3241
MEM 397.582031 1753079853.4244
MEM 397.582031 1753079853.5247
MEM 397.582031 1753079853.6251
MEM 397.582031 1753079853.7268
MEM 397.582031 1753079853.8272
MEM 397.582031 1753079853.9276
MEM 397.582031 1753079854.0280
MEM 397.582031 1753079854.1283
MEM 397.582031 1753079854.2287
MEM 397.582031 1753079854.3290
MEM 397.582031 1753079854.4293
MEM 397.582031 1753079854.5297
MEM 397.582031 1753079854.6300
MEM 397.582031 1753079854.7303
MEM 397.582031 1753079854.8307
MEM 397.582031 1753079854.9320
MEM 397.582031 1753079855.0342
MEM 397.582031 1753079855.1360
MEM 397.582031 1753079855.2364
MEM 397.582031 1753079855.3368
MEM 397.582031 1753079855.4373
MEM 397.582031 1753079855.5376
MEM 397.582031 1753079855.6403
MEM 397.582031 1753079855.7417
MEM 397.582031 1753079855.8421
MEM 397.582031 1753079855.9444
MEM 397.582031 1753079856.0448
MEM 397.582031 1753079856.1506
MEM 397.582031 1753079856.2509
MEM 399.207031 1753079856.3512
MEM 401.207031 1753079856.4516
MEM 402.457031 1753079856.5521
MEM 402.457031 1753079856.6524
MEM 402.457031 1753079856.7527
MEM 402.457031 1753079856.8531
MEM 402.457031 1753079856.9535
MEM 403.082031 1753079857.0539
MEM 403.707031 1753079857.1543
MEM 403.707031 1753079857.2547
MEM 403.707031 1753079857.3551
MEM 403.707031 1753079857.4556
MEM 404.332031 1753079857.5560
MEM 407.457031 1753079857.6568
MEM 409.082031 1753079857.7572
MEM 409.332031 1753079857.8575
MEM 409.332031 1753079857.9579
MEM 409.332031 1753079858.0584
MEM 409.457031 1753079858.1587
MEM 409.457031 1753079858.2591
MEM 409.582031 1753079858.3596
MEM 409.582031 1753079858.4601
MEM 409.582031 1753079858.5606
MEM 409.707031 1753079858.6611
MEM 409.707031 1753079858.7614
MEM 409.832031 1753079858.8619
MEM 409.832031 1753079858.9624
MEM 409.832031 1753079859.0628
MEM 409.832031 1753079859.1632
MEM 409.832031 1753079859.2637
MEM 409.957031 1753079859.3640
MEM 409.957031 1753079859.4644
MEM 410.082031 1753079859.5651
MEM 410.082031 1753079859.6654
MEM 410.082031 1753079859.7660
MEM 410.207031 1753079859.8666
MEM 410.207031 1753079859.9671
MEM 411.457031 1753079860.0677
MEM 411.457031 1753079860.1681
MEM 411.457031 1753079860.2686
MEM 411.582031 1753079860.3691
MEM 411.582031 1753079860.4695
MEM 411.582031 1753079860.5700
MEM 411.707031 1753079860.6706
MEM 411.707031 1753079860.7709
MEM 411.707031 1753079860.8714
MEM 411.832031 1753079860.9717
MEM 411.832031 1753079861.0721
MEM 411.832031 1753079861.1724
MEM 411.832031 1753079861.2728
MEM 411.832031 1753079861.3732
MEM 411.832031 1753079861.4735
MEM 411.832031 1753079861.5739
MEM 411.832031 1753079861.6742
MEM 411.832031 1753079861.7745
MEM 411.832031 1753079861.8749
MEM 411.832031 1753079861.9753
MEM 411.832031 1753079862.0758
MEM 411.832031 1753079862.1761
MEM 411.832031 1753079862.2764
MEM 411.832031 1753079862.3767
MEM 411.832031 1753079862.4770
MEM 411.832031 1753079862.5774
MEM 411.832031 1753079862.6777
MEM 411.832031 1753079862.7781
MEM 411.832031 1753079862.8785
MEM 411.832031 1753079862.9790
MEM 411.832031 1753079863.0795
MEM 411.832031 1753079863.1799
MEM 411.832031 1753079863.2803
MEM 411.832031 1753079863.3809
MEM 411.832031 1753079863.4814
MEM 411.832031 1753079863.5819
MEM 411.832031 1753079863.6823
MEM 411.832031 1753079863.7829
MEM 411.832031 1753079863.8836
MEM 411.832031 1753079863.9839
MEM 411.957031 1753079864.0844
MEM 411.957031 1753079864.1848
MEM 411.957031 1753079864.2853
MEM 411.957031 1753079864.3857
MEM 411.957031 1753079864.4862
MEM 411.957031 1753079864.5866
MEM 411.957031 1753079864.6872
MEM 411.957031 1753079864.7876
MEM 411.957031 1753079864.8881
MEM 411.957031 1753079864.9884
MEM 411.957031 1753079865.0888
MEM 411.957031 1753079865.1893
MEM 411.957031 1753079865.2900
MEM 411.957031 1753079865.3904
MEM 411.957031 1753079865.4910
MEM 411.957031 1753079865.5913
MEM 411.957031 1753079865.6916
MEM 412.082031 1753079865.7921
MEM 412.082031 1753079865.8925
MEM 412.082031 1753079865.9930
MEM 412.082031 1753079866.0934
MEM 412.082031 1753079866.1938
MEM 412.082031 1753079866.2942
MEM 412.082031 1753079866.3947
MEM 412.082031 1753079866.4952
MEM 412.082031 1753079866.5955
MEM 412.082031 1753079866.6960
MEM 412.082031 1753079866.7965
MEM 412.082031 1753079866.8968
MEM 412.082031 1753079866.9972
MEM 412.082031 1753079867.0976
MEM 412.082031 1753079867.1980
MEM 412.082031 1753079867.2983
MEM 412.082031 1753079867.3987
MEM 412.082031 1753079867.4991
MEM 412.082031 1753079867.5995
MEM 412.082031 1753079867.6999
MEM 412.082031 1753079867.8003
MEM 412.082031 1753079867.9008
MEM 412.207031 1753079868.0011
MEM 412.207031 1753079868.1016
MEM 412.207031 1753079868.2020
MEM 412.207031 1753079868.3023
MEM 412.207031 1753079868.4027
MEM 412.207031 1753079868.5032
MEM 412.207031 1753079868.6035
MEM 412.207031 1753079868.7039
MEM 412.207031 1753079868.8042
MEM 412.207031 1753079868.9047
MEM 412.207031 1753079869.0051
MEM 412.207031 1753079869.1056
MEM 412.207031 1753079869.2060
MEM 412.207031 1753079869.3065
MEM 412.207031 1753079869.4069
MEM 412.207031 1753079869.5073
MEM 412.207031 1753079869.6083
MEM 412.207031 1753079869.7089
MEM 412.289062 1753079869.8094
MEM 412.289062 1753079869.9099
MEM 412.289062 1753079870.0103
MEM 412.289062 1753079870.1107
MEM 412.289062 1753079870.2115
MEM 412.289062 1753079870.3120
MEM 412.289062 1753079870.4123
MEM 412.289062 1753079870.5127
MEM 412.289062 1753079870.6130
MEM 412.289062 1753079870.7135
MEM 412.289062 1753079870.8138
MEM 412.289062 1753079870.9142
MEM 412.414062 1753079871.0147
MEM 412.414062 1753079871.1150
MEM 412.414062 1753079871.2154
MEM 412.414062 1753079871.3159
MEM 412.414062 1753079871.4162
MEM 412.414062 1753079871.5167
MEM 412.414062 1753079871.6171
MEM 412.414062 1753079871.7175
MEM 412.414062 1753079871.8179
MEM 412.414062 1753079871.9184
MEM 412.414062 1753079872.0188
MEM 412.414062 1753079872.1191
MEM 412.414062 1753079872.2196
MEM 412.414062 1753079872.3200
MEM 412.414062 1753079872.4205
MEM 412.414062 1753079872.5208
MEM 412.414062 1753079872.6211
MEM 412.414062 1753079872.7215
MEM 412.414062 1753079872.8219
MEM 412.414062 1753079872.9224
MEM 412.414062 1753079873.0227
MEM 412.414062 1753079873.1232
MEM 412.414062 1753079873.2238
MEM 412.539062 1753079873.3242
MEM 412.539062 1753079873.4246
MEM 412.539062 1753079873.5252
MEM 412.539062 1753079873.6257
MEM 412.539062 1753079873.7263
MEM 412.539062 1753079873.8268
MEM 412.539062 1753079873.9273
MEM 412.539062 1753079874.0276
MEM 412.539062 1753079874.1280
MEM 412.539062 1753079874.2285
MEM 412.539062 1753079874.3288
MEM 412.539062 1753079874.4293
MEM 412.539062 1753079874.5296
MEM 412.539062 1753079874.6300
MEM 412.539062 1753079874.7303
MEM 412.539062 1753079874.8308
MEM 412.539062 1753079874.9311
MEM 412.539062 1753079875.0315
MEM 412.539062 1753079875.1318
MEM 412.539062 1753079875.2322
MEM 412.539062 1753079875.3326
MEM 412.539062 1753079875.4331
MEM 412.539062 1753079875.5335
MEM 412.539062 1753079875.6339
MEM 412.539062 1753079875.7342
MEM 412.664062 1753079875.8349
MEM 412.664062 1753079875.9354
MEM 412.664062 1753079876.0358
MEM 412.664062 1753079876.1363
MEM 412.664062 1753079876.2368
MEM 412.664062 1753079876.3372
MEM 412.664062 1753079876.4376
MEM 412.664062 1753079876.5379
MEM 412.664062 1753079876.6382
MEM 412.664062 1753079876.7385
MEM 412.664062 1753079876.8389
MEM 412.664062 1753079876.9393
MEM 412.664062 1753079877.0398
MEM 412.664062 1753079877.1402
MEM 412.664062 1753079877.2407
MEM 412.664062 1753079877.3409
MEM 412.664062 1753079877.4412
MEM 412.664062 1753079877.5414
MEM 412.664062 1753079877.6418
MEM 412.664062 1753079877.7422
MEM 412.664062 1753079877.8426
MEM 412.664062 1753079877.9431
MEM 412.664062 1753079878.0434
MEM 412.789062 1753079878.1439
MEM 412.789062 1753079878.2442
MEM 412.789062 1753079878.3447
MEM 412.789062 1753079878.4451
MEM 412.789062 1753079878.5454
MEM 412.789062 1753079878.6458
MEM 412.789062 1753079878.7462
MEM 412.789062 1753079878.8467
MEM 412.789062 1753079878.9471
MEM 412.789062 1753079879.0474
MEM 412.789062 1753079879.1478
MEM 412.789062 1753079879.2481
MEM 412.789062 1753079879.3486
MEM 412.789062 1753079879.4489
MEM 412.789062 1753079879.5495
MEM 412.789062 1753079879.6500
MEM 412.789062 1753079879.7504
MEM 412.789062 1753079879.8510
MEM 412.789062 1753079879.9513
MEM 412.789062 1753079880.0516
MEM 412.789062 1753079880.1520
MEM 412.789062 1753079880.2523
MEM 412.789062 1753079880.3528
MEM 412.789062 1753079880.4533
MEM 412.789062 1753079880.5537
MEM 412.789062 1753079880.6543
MEM 412.789062 1753079880.7546
MEM 412.789062 1753079880.8549
MEM 412.789062 1753079880.9553
MEM 412.789062 1753079881.0558
MEM 412.789062 1753079881.1564
MEM 412.789062 1753079881.2567
MEM 412.789062 1753079881.3573
MEM 412.789062 1753079881.4577
MEM 412.789062 1753079881.5580
MEM 412.789062 1753079881.6584
MEM 412.789062 1753079881.7588
MEM 412.789062 1753079881.8592
MEM 412.789062 1753079881.9597
MEM 412.789062 1753079882.0600
MEM 412.789062 1753079882.1603
MEM 412.789062 1753079882.2605
MEM 412.789062 1753079882.3609
MEM 412.789062 1753079882.4612
MEM 412.914062 1753079882.5616
MEM 412.914062 1753079882.6620
MEM 412.914062 1753079882.7623
MEM 412.914062 1753079882.8627
MEM 412.914062 1753079882.9632
MEM 412.914062 1753079883.0637
MEM 412.914062 1753079883.1641
MEM 412.914062 1753079883.2644
MEM 412.914062 1753079883.3646
MEM 412.914062 1753079883.4651
MEM 412.914062 1753079883.5653
MEM 412.914062 1753079883.6658
MEM 412.914062 1753079883.7662
MEM 412.914062 1753079883.8666
MEM 412.914062 1753079883.9668
